RF,BF,VM,ST,target
0.0037,-0.0015,-0.0008,-0.0173,normal
0.0015,-0.0015,-0.0015,-0.006,normal
0,-0.0015,0,-0.012,normal
0.0007,-0.003,0,-0.0143,normal
0.0022,-0.0038,0.0007,-0.0173,normal
0.0037,-0.0008,0.0015,-0.0181,normal
0.0052,0.0022,-0.003,-0.0143,normal
0.0067,0.0045,-0.0046,-0.0135,normal
0.0082,0.003,-0.003,-0.0083,normal
0.0105,0.0037,-0.0046,-0.0105,normal
0.0097,0.003,-0.0023,-0.0083,normal
0.0067,0.0022,-0.0015,-0.0008,normal
0.0082,0.0037,-0.0008,0.0015,normal
0.0045,0.0045,-0.0015,0.0075,normal
0.0037,0.0037,-0.003,0.0022,normal
0.0037,-0.0008,-0.003,-0.0008,normal
-0.0008,-0.0008,-0.0038,0.0007,normal
0,-0.0008,-0.0023,-0.0015,normal
-0.0008,-0.003,-0.0046,-0.0015,normal
-0.0015,-0.0023,-0.006,-0.003,normal
-0.003,0.0015,-0.0068,-0.0046,normal
-0.0038,0.0015,-0.0075,-0.006,normal
0.0007,-0.0023,-0.006,-0.0068,normal
-0.003,-0.0023,-0.0046,-0.0015,normal
-0.0023,-0.0053,-0.0015,0.003,normal
-0.003,-0.0046,-0.003,0.0082,normal
-0.0015,-0.0015,-0.0046,0.0045,normal
0,-0.0023,-0.0046,-0.0053,normal
-0.0023,-0.0015,-0.003,-0.0105,normal
0.003,-0.0015,-0.0015,-0.015,normal
0.0015,-0.0015,-0.0046,-0.0165,normal
0,-0.0023,-0.0023,-0.0173,normal
0.0007,-0.0046,-0.0015,-0.0225,normal
0.0015,-0.0053,-0.003,-0.0218,normal
0,-0.0046,-0.0015,-0.0195,normal
-0.0015,-0.0038,-0.003,-0.015,normal
0.0007,0,-0.0015,-0.0015,normal
-0.0023,0.0045,0.0007,0.012,normal
-0.0015,0.0067,0.0045,0.0195,normal
-0.0015,0.006,0.0037,0.0247,normal
-0.0015,0.0045,0.0015,0.0307,normal
0.0022,0.0045,0,0.033,normal
-0.0008,0.0045,-0.0015,0.0315,normal
0,0.0037,-0.0008,0.018,normal
-0.0015,0.0045,-0.0015,-0.003,normal
-0.0038,0.0052,-0.0023,-0.0068,normal
-0.0038,0.0075,-0.0008,-0.0053,normal
-0.0038,0.0082,-0.003,-0.0091,normal
-0.0046,0.0075,-0.0053,-0.0098,normal
-0.0068,0.0052,-0.0038,-0.0158,normal
-0.0038,0.0022,-0.0046,-0.0158,normal
-0.0046,0.003,-0.0015,-0.0128,normal
-0.0038,0.0015,-0.0015,-0.0098,normal
-0.0008,-0.0008,-0.0008,-0.003,normal
-0.0008,-0.0053,0.0007,0,normal
-0.0008,-0.0075,-0.0015,0.003,normal
0.0007,-0.0068,-0.0015,0.006,normal
0.0037,-0.0068,-0.0008,0.0135,normal
0.0022,-0.0015,-0.003,0.0157,normal
0.0022,-0.0008,-0.0008,0.0172,normal
0.0052,-0.0008,0.0007,0.0195,normal
0.0052,0.0015,0.003,0.0112,normal
0.0045,-0.0008,0.003,0.0045,normal
0.0052,0.0007,0,0.0015,normal
0.0037,-0.0046,0,-0.003,normal
0.003,-0.0105,0,-0.0075,normal
0.0082,-0.0098,0.0007,-0.0075,normal
0.0067,-0.0083,-0.0015,-0.0068,normal
0.0045,-0.006,-0.0038,-0.0038,normal
0.0045,-0.0023,-0.003,-0.003,normal
0.0007,0.0022,-0.0015,-0.003,normal
0,0.009,-0.0008,-0.0023,normal
0,0.0165,0,-0.0038,normal
-0.0008,0.0112,-0.0008,-0.0023,normal
0.0015,0.0052,-0.0015,-0.006,normal
0.0007,0.0045,-0.0008,-0.0128,normal
0.0007,0.0015,0.0007,-0.0158,normal
0.0022,0.0007,0.0007,-0.0135,normal
0.0015,-0.0008,-0.0015,-0.015,normal
0.003,-0.0015,-0.0008,-0.0075,normal
0.003,-0.0023,0.0007,0.0007,normal
0.0067,-0.003,-0.0008,-0.0053,normal
0.0045,-0.0053,-0.0015,-0.0053,normal
0.0082,-0.0091,0.0007,0.0045,normal
0.0097,-0.0113,0.0015,0.0165,normal
0.0067,-0.0105,0.0015,0.0217,normal
0.0082,-0.0008,0.0045,0.0067,normal
0.003,0.0112,0.0052,-0.0233,normal
0.0037,0.018,0.0052,-0.0405,normal
0.0052,0.0202,0.0045,-0.0428,normal
0.0045,0.0142,0.0037,-0.0428,normal
0.0067,0.0007,0.0037,-0.0165,normal
0.0075,-0.0068,0.0007,0.0015,normal
0.0067,-0.0053,0.003,0.0097,normal
0.003,-0.0143,0.0037,0.039,normal
0.0052,-0.0173,0.0022,0.0442,normal
0.003,-0.0113,0.0037,0.0315,normal
0.0037,-0.0165,0.0007,0.0195,normal
0.003,-0.0143,-0.0008,0.0037,normal
-0.0015,-0.0075,0.0007,-0.003,normal
-0.0008,-0.0083,0.0015,-0.0046,normal
-0.0008,-0.0046,0.0015,-0.003,normal
0.0007,-0.0053,0.0007,-0.0046,normal
-0.0015,-0.0068,0.0007,-0.006,normal
0.003,-0.0068,0.0015,-0.0068,normal
0.003,-0.0075,0.0007,-0.0075,normal
0,-0.0046,-0.0023,-0.0038,normal
0.003,-0.0128,-0.003,-0.0046,normal
0.0007,-0.0218,-0.0023,-0.006,normal
0.0015,-0.0165,-0.0023,-0.0053,normal
0.0052,0.0045,-0.0015,-0.003,normal
0.006,0.024,-0.0008,-0.0008,normal
0.0045,0.024,0.0015,0.0052,normal
0.0007,0.0322,0.0007,0.009,normal
0,0.0382,-0.0008,0.009,normal
-0.0015,0.0285,0.0007,0.009,normal
-0.0023,-0.0046,0.0015,0.003,normal
-0.003,-0.039,0,0,normal
-0.0023,-0.0203,0.003,0.0037,normal
-0.0008,-0.0015,0.003,0.0022,normal
-0.0008,-0.0023,0.0015,0.0045,normal
-0.0008,-0.0046,0.0022,0.0105,normal
0.0007,0.0015,-0.0008,0.0127,normal
0.0015,0.0142,-0.0015,0.0165,normal
0.0015,0.0067,-0.0023,0.018,normal
0.0037,-0.0008,-0.0046,0.0187,normal
0.0007,-0.0113,-0.003,0.018,normal
-0.0015,-0.0218,-0.003,0.0172,normal
0.0007,-0.0233,-0.0015,0.0202,normal
0,-0.0068,0.0007,0.024,normal
-0.0015,0.012,0.0007,0.0262,normal
0.0015,0.0075,0,0.0262,normal
0.0022,-0.0008,-0.0015,0.027,normal
-0.0008,0.0067,-0.0015,0.0202,normal
-0.0008,0.0262,-0.0023,0.0082,normal
-0.003,0.0412,-0.003,0.0045,normal
-0.0053,0.0315,-0.0015,0.0082,normal
-0.0023,0.018,0,0.012,normal
-0.0023,0.0262,-0.0015,0.0142,normal
-0.0015,0.0255,-0.0008,0.0142,normal
0.0015,0.0142,0.0007,0.009,normal
-0.0015,0.0015,0.0022,0.0105,normal
0.0007,-0.0083,0.0007,0.0082,normal
0.0022,-0.0165,0.0022,0.009,normal
0.0007,-0.0278,0.0045,0.006,normal
-0.0008,-0.0315,0.003,0.003,normal
0.0015,-0.0256,0.0022,0.0007,normal
0.0007,-0.0195,0.0037,-0.0008,normal
0.0007,-0.0113,0.0037,-0.0015,normal
0.0037,-0.0015,0.003,-0.0053,normal
0.0052,-0.0038,0.0015,-0.0083,normal
0.003,0.0007,0,-0.0098,normal
0.0015,0.0007,-0.0008,-0.0128,normal
0.006,-0.003,0.0015,-0.0135,normal
0.006,-0.0008,0.003,-0.0135,normal
0.0067,-0.0008,0.0015,-0.0143,normal
0.0045,0.0015,0.0007,-0.0158,normal
0.0037,0.0007,0.0007,-0.0143,normal
0.0045,0.0015,-0.0008,-0.0128,normal
0.0015,0.0007,-0.0038,-0.0091,normal
0.0015,0.0022,-0.0038,-0.0075,normal
-0.0023,0.0052,-0.0015,-0.0105,normal
-0.0008,0.0045,-0.0023,-0.0083,normal
0,0.0045,-0.0015,-0.0053,normal
-0.0008,0.0037,-0.0023,-0.003,normal
0.0037,0.0052,-0.0038,-0.003,normal
0.0037,0.0052,-0.0023,-0.0038,normal
0.0052,0.003,-0.0023,-0.0053,normal
0.0052,0.003,-0.0008,-0.0015,normal
0.0045,0.0037,-0.0015,0.0067,normal
0.003,0.003,-0.0008,0.009,normal
0.0007,0.0045,0,0.0112,normal
-0.0015,0.003,-0.003,0.0112,normal
-0.0038,0.0022,-0.0015,0.0127,normal
-0.0008,0.0015,0,0.0142,normal
-0.0015,0,0.0015,0.0112,normal
0.0007,0,0.0045,0.012,normal
0.0067,0,0.0015,0.0105,normal
0.0052,0.0007,0.0015,0.0097,normal
0.003,0.0007,0.0015,0.0067,normal
0.0022,-0.0023,0.0007,0.003,normal
0.0015,-0.0023,0.003,0.0022,normal
0.0007,-0.003,0.0022,0,normal
0.0022,-0.003,0.0007,-0.0023,normal
