Timestamp,rectus femoris,biceps femoris,vastus internus,semitendinosus
5.599999999999999645e+00,7.723282834493774840e-02,5.704183682362178737e-02,2.298162161181937016e-02,1.810079405055246837e-02
5.600999999999999979e+00,7.700916558942437484e-02,5.733227611746470609e-02,2.309846827804737379e-02,1.808550137980974304e-02
5.602000000000000313e+00,7.679376145420893640e-02,5.763172208375421518e-02,2.321987254335398584e-02,1.807356097302540918e-02
5.602999999999999758e+00,7.658626510826338496e-02,5.793981617969352210e-02,2.334567558201997711e-02,1.806504969526972343e-02
5.604000000000000092e+00,7.638619251338345240e-02,5.825613793398450729e-02,2.347572923301303321e-02,1.806002903701321369e-02
5.605000000000000426e+00,7.619291805635358683e-02,5.858019318786672480e-02,2.360989099642646361e-02,1.805854747964050558e-02
5.605999999999999872e+00,7.600567743861777470e-02,5.891140274163023105e-02,2.374801343973046222e-02,1.806064585733457156e-02
5.607000000000000206e+00,7.582358188403771904e-02,5.924909561573540873e-02,2.388993947674773743e-02,1.806635986199323085e-02
5.607999999999999652e+00,7.564563894875171723e-02,5.959250561974552968e-02,2.403549796149221512e-02,1.807571906187472807e-02
5.608999999999999986e+00,7.547076923596217346e-02,5.994076713618602670e-02,2.418449170244907701e-02,1.808874778672306047e-02
5.610000000000000320e+00,7.529780581022021968e-02,6.029291232821340496e-02,2.433668690891442610e-02,1.810546628185423848e-02
5.610999999999999766e+00,7.512549267842556777e-02,6.064787099693948885e-02,2.449181242462967339e-02,1.812588408791940275e-02
5.612000000000000099e+00,7.495253457439235434e-02,6.100446856417209018e-02,2.464956166181327471e-02,1.814998870062225350e-02
5.613000000000000433e+00,7.477770283781642879e-02,6.136142320974527498e-02,2.480958954510507214e-02,1.817774267726565696e-02
5.613999999999999879e+00,7.459993378123180863e-02,6.171734992572313477e-02,2.497150965751628385e-02,1.820909165047713760e-02
5.615000000000000213e+00,7.441836948742192037e-02,6.207077374964505706e-02,2.513489997768991735e-02,1.824397063690564105e-02
5.615999999999999659e+00,7.423233578466401084e-02,6.242014997483692762e-02,2.529931911284931390e-02,1.828230202779550229e-02
5.616999999999999993e+00,7.404127944130087235e-02,6.276389736820406351e-02,2.546432185225588202e-02,1.832399648866589806e-02
5.618000000000000327e+00,7.384468870524132922e-02,6.310044806165530928e-02,2.562945820567519642e-02,1.836896245987723261e-02
5.618999999999999773e+00,7.364202989561344226e-02,6.342829840545823050e-02,2.579426302883481778e-02,1.841711130041619529e-02
5.620000000000000107e+00,7.343275978435938323e-02,6.374604455354478116e-02,2.595825878261053335e-02,1.846835700748628364e-02
5.621000000000000441e+00,7.321643373909096641e-02,6.405239951954420918e-02,2.612097350404234131e-02,1.852263042080573921e-02
5.621999999999999886e+00,7.299283496914867053e-02,6.434617861039312881e-02,2.628196375497845669e-02,1.857990527383532667e-02
5.623000000000000220e+00,7.276203564832560422e-02,6.462626180788400010e-02,2.644084969340453756e-02,1.864020724895567444e-02
5.623999999999999666e+00,7.252436796996007684e-02,6.489161964178104258e-02,2.659735489146087054e-02,1.870359836881908128e-02
5.625000000000000000e+00,7.228032287320411420e-02,6.514144398449102369e-02,2.675130839920253009e-02,1.877015138480415610e-02
5.626000000000000334e+00,7.203042489862807041e-02,6.537525238427295549e-02,2.690260087822884949e-02,1.883992657481151078e-02
5.626999999999999780e+00,7.177515008456822332e-02,6.559283321318361282e-02,2.705114383268685321e-02,1.891296077713598700e-02
5.628000000000000114e+00,7.151489922522666354e-02,6.579408549407121665e-02,2.719685733548711862e-02,1.898927152597284368e-02
5.628999999999999559e+00,7.125000027730754582e-02,6.597889999175481079e-02,2.733966376904530676e-02,1.906886546013935105e-02
5.629999999999999893e+00,7.098072411105486867e-02,6.614714062675018658e-02,2.747947851211176087e-02,1.915173989800499771e-02
5.631000000000000227e+00,7.070731169212275680e-02,6.629867131862811347e-02,2.761621060192336399e-02,1.923787973974786306e-02
5.631999999999999673e+00,7.043002248290139433e-02,6.643336367807151088e-02,2.774978788734502877e-02,1.932725466557868102e-02
5.633000000000000007e+00,7.014918952748694370e-02,6.655109929096965360e-02,2.788021694376121434e-02,1.941981916917332601e-02
5.634000000000000341e+00,6.986524239709605844e-02,6.665182955808247878e-02,2.800763976458218660e-02,1.951551942387400040e-02
5.634999999999999787e+00,6.957868648301376857e-02,6.673567176538920676e-02,2.813232419786528687e-02,1.961429987985728943e-02
5.636000000000000121e+00,6.929006108823045074e-02,6.680292197282790279e-02,2.825459636388633414e-02,1.971609750549128612e-02
5.636999999999999567e+00,6.899991078069683814e-02,6.685395256652382212e-02,2.837477716478692402e-02,1.982083035183932612e-02
5.637999999999999901e+00,6.870878414002487555e-02,6.688910728551070162e-02,2.849315334286257884e-02,1.992839489318040322e-02
5.639000000000000234e+00,6.841722321480932234e-02,6.690867308703460359e-02,2.860997165135243520e-02,2.003866955888954776e-02
5.639999999999999680e+00,6.812572949302125869e-02,6.691289047218827724e-02,2.872544216607009551e-02,2.015151413436330405e-02
5.641000000000000014e+00,6.783476776915979556e-02,6.690195522276506934e-02,2.883974836220133675e-02,2.026676891744714701e-02
5.642000000000000348e+00,6.754484174206647207e-02,6.687601287526041827e-02,2.895306175714889435e-02,2.038426160308282400e-02
5.642999999999999794e+00,6.725660224340053450e-02,6.683515544423905552e-02,2.906556402890894328e-02,2.050381399091474183e-02
5.644000000000000128e+00,6.697092405419194372e-02,6.677942728887317769e-02,2.917747347479536166e-02,2.062524003322446786e-02
5.644999999999999574e+00,6.668888358807444072e-02,6.670884662747257610e-02,2.928904963227766875e-02,2.074834381580850998e-02
5.645999999999999908e+00,6.641163972478729416e-02,6.662343730469165448e-02,2.940056569746403101e-02,2.087292492342127104e-02
5.647000000000000242e+00,6.614032365666600022e-02,6.652326210564579734e-02,2.951227679362162723e-02,2.099878104156628622e-02
5.647999999999999687e+00,6.587600717288942531e-02,6.640844646466095846e-02,2.962440796135600019e-02,2.112569777383873151e-02
5.649000000000000021e+00,6.561970679190545774e-02,6.627917366925892284e-02,2.973715529343839634e-02,2.125343608809770676e-02
5.650000000000000355e+00,6.537237962004573133e-02,6.613565572876974052e-02,2.985068950795663131e-02,2.138173168257392204e-02
5.650999999999999801e+00,6.513492372943846531e-02,6.597811540668456487e-02,2.996516017208513544e-02,2.151030195957018276e-02
5.652000000000000135e+00,6.490819533515237993e-02,6.580678900526162889e-02,3.008069294690709702e-02,2.163885108954947262e-02
5.652999999999999581e+00,6.469302728639830802e-02,6.562192225364051057e-02,3.019738151658234865e-02,2.176707253816265869e-02
5.653999999999999915e+00,6.449023420222470271e-02,6.542378687864883191e-02,3.031528972704704977e-02,2.189465250804447857e-02
5.655000000000000249e+00,6.430060875893736649e-02,6.521279419820430467e-02,3.043445946607547387e-02,2.202127969830661863e-02
5.655999999999999694e+00,6.412491592697973364e-02,6.498965411398960335e-02,3.055490907325670441e-02,2.214665699723399397e-02
5.657000000000000028e+00,6.396388508623201963e-02,6.475541029110033764e-02,3.067662594925973929e-02,2.227049899003050865e-02
5.658000000000000362e+00,6.381820082837860730e-02,6.451131480093205695e-02,3.079956067599246353e-02,2.239251333295629379e-02
5.658999999999999808e+00,6.368849357648653786e-02,6.425866964358151190e-02,3.092362366266787968e-02,2.251238179009409923e-02
5.660000000000000142e+00,6.357533403840795461e-02,6.399872846476185873e-02,3.104868844041059825e-02,2.262975162556616140e-02
5.660999999999999588e+00,6.347922876504735745e-02,6.373265646950670993e-02,3.117460480951902632e-02,2.274423381866790342e-02
5.661999999999999922e+00,6.340060537319854028e-02,6.346151954709215726e-02,3.130122106185245778e-02,2.285540197976796903e-02
5.663000000000000256e+00,6.333979972974258799e-02,6.318628614159423063e-02,3.142840705044429306e-02,2.296279614853603823e-02
5.663999999999999702e+00,6.329706982484337163e-02,6.290784040633698448e-02,3.155606082133242951e-02,2.306593809647309104e-02
5.665000000000000036e+00,6.327261863711129697e-02,6.262700360538599187e-02,3.168409242834318434e-02,2.316435375710630684e-02
5.666000000000000369e+00,6.326659340503491824e-02,6.234454944271945742e-02,3.181241015795701482e-02,2.325759080372771792e-02
5.666999999999999815e+00,6.327907637437396593e-02,6.206120757473702204e-02,3.194094172767729389e-02,2.334521941511469648e-02
5.668000000000000149e+00,6.331009613280778880e-02,6.177766751460948835e-02,3.206967454168654919e-02,2.342681517039554850e-02
5.668999999999999595e+00,6.335965039286549361e-02,6.149458977731218912e-02,3.219866397210875003e-02,2.350194055055117304e-02
5.669999999999999929e+00,6.342770473039882617e-02,6.121261841062749370e-02,3.232800025607013988e-02,2.357014106363715736e-02
5.671000000000000263e+00,6.351416343293742051e-02,6.093239315286735902e-02,3.245777125141972863e-02,2.363095904955575532e-02
5.671999999999999709e+00,6.361885710944215067e-02,6.065456629047801668e-02,3.258804596184819435e-02,2.368395841778240044e-02
5.673000000000000043e+00,6.374156387898527454e-02,6.037982522361524940e-02,3.271887057677799748e-02,2.372875255229238076e-02
5.674000000000000377e+00,6.388203352810248314e-02,6.010890407114011236e-02,3.285026127690027220e-02,2.376504730422384151e-02
